Frame,Time,HMD_PosX,HMD_PosY,HMD_PosZ,HMD_RotX,HMD_RotY,HMD_RotZ,L_ctrl_PosX,L_ctrl_PosY,L_ctrl_PosZ,L_ctrl_RotX,L_ctrl_RotY,L_ctrl_RotZ,R_ctrl_PosX,R_ctrl_PosY,R_ctrl_PosZ,R_ctrl_RotX,R_ctrl_RotY,R_ctrl_RotZ,Timestamp
96,12.44348,-0.1115,0.4391,-0.2454,332.840,338.261,355.856,-0.2655,0.0275,0.2762,4.203,19.298,306.779,-0.2576,0.1600,0.1616,345.456,353.708,18.027,01-08 17:52:32.427
97,12.48483,-0.1118,0.4396,-0.2465,332.678,338.150,355.942,-0.2655,0.0275,0.2762,4.203,19.299,306.779,-0.2608,0.1487,0.1644,348.047,352.516,22.567,01-08 17:52:32.469
98,12.52627,-0.1122,0.4399,-0.2474,332.501,337.736,355.874,-0.2655,0.0275,0.2762,4.203,19.299,306.780,-0.2616,0.1405,0.1666,350.222,351.635,22.405,01-08 17:52:32.510
99,12.56785,-0.1126,0.4402,-0.2483,332.439,337.075,355.962,-0.2655,0.0275,0.2762,4.203,19.299,306.780,-0.2626,0.1328,0.1658,358.407,346.156,24.770,01-08 17:52:32.552
100,12.61139,-0.1128,0.4403,-0.2486,332.335,336.428,355.981,-0.2655,0.0275,0.2762,4.203,19.298,306.780,-0.2648,0.1255,0.1643,355.446,346.250,23.349,01-08 17:52:32.596
101,12.65089,-0.1125,0.4401,-0.2486,332.297,336.166,355.953,-0.2655,0.0275,0.2762,4.203,19.298,306.780,-0.2690,0.1163,0.1638,352.706,346.710,26.170,01-08 17:52:32.634
102,12.69247,-0.1121,0.4400,-0.2486,332.367,336.289,355.752,-0.2655,0.0275,0.2762,4.203,19.299,306.779,-0.2731,0.1072,0.1623,346.983,348.640,29.854,01-08 17:52:32.676
103,12.73465,-0.1114,0.4401,-0.2485,332.178,336.360,355.721,-0.2655,0.0275,0.2762,4.203,19.298,306.780,-0.2787,0.0947,0.1633,344.867,349.214,36.581,01-08 17:52:32.719
104,12.77632,-0.1109,0.4405,-0.2486,332.080,336.322,355.735,-0.2655,0.0275,0.2762,4.203,19.299,306.780,-0.2833,0.0815,0.1652,343.277,349.562,41.714,01-08 17:52:32.761
105,12.81832,-0.1109,0.4406,-0.2489,332.058,335.973,355.714,-0.2655,0.0275,0.2762,4.203,19.298,306.780,-0.2857,0.0755,0.1681,344.479,351.329,40.453,01-08 17:52:32.802
106,12.86084,-0.1116,0.4405,-0.2495,332.178,335.669,355.721,-0.2655,0.0275,0.2762,4.203,19.298,306.780,-0.2879,0.0705,0.1719,348.514,350.218,39.165,01-08 17:52:32.845
107,12.90104,-0.1127,0.4403,-0.2496,332.152,335.162,355.774,-0.2655,0.0275,0.2762,4.203,19.299,306.780,-0.2899,0.0662,0.1718,344.931,351.007,41.775,01-08 17:52:32.884
108,12.94294,-0.1148,0.4400,-0.2496,332.350,334.711,355.846,-0.2655,0.0275,0.2762,4.203,19.299,306.779,-0.2899,0.0640,0.1729,344.562,350.180,41.311,01-08 17:52:32.927
109,12.98433,-0.1163,0.4400,-0.2497,332.175,334.328,355.883,-0.2655,0.0275,0.2762,4.203,19.298,306.779,-0.2869,0.0599,0.1777,348.693,354.846,44.884,01-08 17:52:32.969
110,13.02608,-0.1176,0.4399,-0.2497,332.132,334.054,356.000,-0.2655,0.0275,0.2762,4.203,19.298,306.779,-0.2840,0.0557,0.1817,355.421,357.877,44.329,01-08 17:52:33.009
111,13.06769,-0.1189,0.4399,-0.2502,332.209,333.867,356.035,-0.2655,0.0275,0.2762,4.203,19.298,306.779,-0.2836,0.0499,0.1841,359.957,358.107,43.452,01-08 17:52:33.052
112,13.11045,-0.1197,0.4399,-0.2506,332.164,333.464,356.171,-0.2655,0.0275,0.2762,4.203,19.298,306.780,-0.2843,0.0492,0.1848,354.979,357.177,44.532,01-08 17:52:33.094
113,13.15123,-0.1205,0.4394,-0.2513,332.259,333.188,356.267,-0.2655,0.0275,0.2762,4.203,19.299,306.779,-0.2837,0.0504,0.1887,348.287,357.918,45.593,01-08 17:52:33.135
114,13.19324,-0.1208,0.4394,-0.2520,332.376,332.930,356.241,-0.2655,0.0275,0.2762,4.203,19.299,306.780,-0.2818,0.0475,0.1914,354.207,0.305,45.526,01-08 17:52:33.178
115,13.23453,-0.1211,0.4394,-0.2525,332.358,332.685,356.307,-0.2655,0.0275,0.2762,4.203,19.298,306.779,-0.2813,0.0467,0.1932,353.895,1.780,46.934,01-08 17:52:33.218
116,13.27636,-0.1211,0.4393,-0.2531,332.485,332.614,356.180,-0.2655,0.0275,0.2762,4.203,19.299,306.780,-0.2823,0.0462,0.1945,353.563,1.324,47.625,01-08 17:52:33.261
117,13.3182,-0.1205,0.4391,-0.2535,332.524,332.434,356.287,-0.2655,0.0275,0.2762,4.203,19.299,306.780,-0.2860,0.0410,0.1953,353.310,1.962,53.536,01-08 17:52:33.303
118,13.36164,-0.1200,0.4387,-0.2542,332.683,332.463,356.241,-0.2655,0.0275,0.2762,4.203,19.298,306.779,-0.2869,0.0362,0.1978,354.066,3.659,58.331,01-08 17:52:33.346
